"family","day","chkov","ref2p","O","A","M"
"A12_12",32,"susceptible","resistant",-8.39317618,-5.66888033,NA
"A12_12",31,"susceptible","resistant",NA,-6.4595732,-5.23526683
"A12_14",33,"resistant","susceptible",-6.09668393,NA,-5.53372824
"A12_14",32,"resistant","susceptible",-6.63697618,-4.22669235,NA
"A12_14",31,"resistant","susceptible",NA,-7.1740732,-6.29191683
"A12_15",31,"susceptible","susceptible",NA,-6.41988578,-7.17721683
"A12_15",34,"susceptible","susceptible",NA,-4.75852654,-6.27865945
"A12_15",35,"susceptible","susceptible",NA,-4.7440235,-6.53566212
"A12_15",32,"susceptible","susceptible",-8.09852618,-6.11744235,NA
"A12_15",33,"susceptible","susceptible",-10.98651457,NA,-6.04801325
"A12_16",32,"susceptible","susceptible",-7.50864821,-4.12644235,NA
"A12_16",35,"susceptible","susceptible",NA,-4.7448735,-6.67886022
"A12_16",33,"susceptible","susceptible",-7.28226457,NA,-7.00837824
"A12_16",31,"susceptible","susceptible",NA,-6.43670467,-6.97076683
"A12_16",34,"susceptible","susceptible",NA,-4.17422003,-5.75730945
"A12_25",31,"resistant","susceptible",NA,-6.28335467,-8.819586
"A12_25",32,"resistant","susceptible",-6.65481527,-5.33773033,NA
"A12_25",33,"resistant","susceptible",-9.02401457,NA,-6.22204131
"A12_4",32,"resistant","susceptible",-7.05211527,-5.75828033,NA
"A12_4",35,"resistant","susceptible",NA,-5.7436735,-6.96066212
"A12_4",34,"resistant","susceptible",NA,-5.82915945,-5.80200945
"A12_4",33,"resistant","susceptible",-8.24648393,NA,-5.14644131
"A12_4",31,"resistant","susceptible",NA,-6.48345467,-6.448886
"A12_7",35,"resistant","susceptible",NA,-5.92281834,-6.43616022
"A12_7",33,"resistant","susceptible",-7.76656457,NA,-5.36329131
"A12_7",34,"resistant","susceptible",NA,-5.54115945,-4.59435596
"A12_7",31,"resistant","susceptible",NA,-5.61903578,-5.91996683
"A12_7",32,"resistant","susceptible",-5.43634821,-5.55644235,NA
"A13_11",38,"resistant","susceptible",-5.09547489,NA,-6.66106021
"A13_11",35,"resistant","susceptible",NA,-7.32401212,-5.84426022
"A13_11",34,"resistant","susceptible",NA,-5.68647003,-5.58433224
"A13_14",38,"resistant","susceptible",-9.34401491,NA,-2.87727347
"A13_14",35,"resistant","susceptible",NA,-5.6416735,-5.74536834
"A13_14",34,"resistant","susceptible",NA,-7.21265596,-4.99820945
"A13_17",34,"susceptible","susceptible",NA,-4.99362654,-5.25083224
"A13_17",35,"susceptible","susceptible",NA,-6.05936212,-6.05895039
"A13_18",34,"resistant","susceptible",NA,-6.89525596,-6.14099579
"A13_18",38,"resistant","susceptible",-9.61771491,NA,-4.87067347
"A13_18",35,"resistant","susceptible",NA,-7.20825039,-7.00186834
"A13_19",35,"susceptible","susceptible",NA,-5.5856735,-5.31266022
"A13_19",38,"susceptible","susceptible",-9.17366491,NA,-5.59322347
"A13_19",34,"susceptible","susceptible",NA,-5.31437654,-4.70453224
"A13_7",35,"resistant","susceptible",NA,-6.09701212,-5.70801022
"A13_7",38,"resistant","susceptible",-3.72699432,NA,NA
"A13_7",34,"resistant","susceptible",NA,-5.55740596,-4.63449579
"A13_9",35,"resistant","susceptible",NA,-4.44894767,-5.07041834
"A13_9",38,"resistant","susceptible",-6.03039432,NA,NA
"A13_9",34,"resistant","susceptible",NA,-4.94162003,-4.19874579
"A14_1",38,"resistant","susceptible",-7.59299151,-4.09038655,NA
"A14_1",39,"resistant","susceptible",-8.54159944,NA,-4.74900377
"A14_1",40,"resistant","susceptible",NA,-6.48065497,-4.57464777
"A14_1",37,"resistant","susceptible",NA,-6.76842874,-5.73036752
"A14_17",38,"resistant","susceptible",-6.01110689,-4.91731661,NA
"A14_17",39,"resistant","susceptible",-7.9824253,NA,-4.34555377
"A14_17",37,"resistant","susceptible",NA,-5.40292874,-6.70030046
"A14_18",39,"resistant","resistant",-6.8262253,NA,-4.60696432
"A14_18",37,"resistant","resistant",NA,-6.95582874,-4.4268671
"A14_18",38,"resistant","resistant",-7.66479151,-5.4145882,NA
"A14_2",40,"susceptible","susceptible",NA,-5.27695688,NA
"A14_20",39,"susceptible","susceptible",-7.47339944,NA,-4.15180377
"A14_20",37,"susceptible","susceptible",NA,-7.08010299,-6.53955046
"A14_20",38,"susceptible","susceptible",-8.01270689,-6.38186661,NA
"A14_21",38,"resistant","susceptible",-9.22420689,-5.8839882,NA
"A14_21",37,"resistant","susceptible",NA,-6.2743171,-7.56176752
"A14_21",39,"resistant","susceptible",-8.1721253,NA,NA
"A14_24",37,"resistant","susceptible",NA,-4.8158671,-7.06510046
"A14_24",39,"resistant","susceptible",-7.92816432,NA,-4.4788382
"A14_24",38,"resistant","susceptible",-8.81730689,-6.71943655,NA
"A14_5",38,"susceptible","susceptible",-7.4665728,-5.09883655,NA
"A14_5",37,"susceptible","susceptible",NA,-5.79612874,-5.3798671
"A14_5",40,"susceptible","susceptible",NA,-6.02045497,-4.65944777
"A14_5",39,"susceptible","susceptible",-9.00094944,NA,-5.24880377
"A14_6",38,"resistant","susceptible",-10.5626728,-6.47976661,NA
"A14_6",39,"resistant","susceptible",-9.40259944,NA,-5.14420377
"A14_6",37,"resistant","susceptible",NA,-5.56000299,-7.51215046
"A14_6",40,"resistant","susceptible",NA,-5.62295497,-7.36519777
"A2_11",5,"susceptible","susceptible",-7.67548367,-5.59505467,NA
"A2_11",2,"susceptible","susceptible",-7.2012485,-5.68761863,NA
"A2_11",4,"susceptible","susceptible",NA,-7.28276453,-7.04201128
"A2_11",3,"susceptible","susceptible",-8.6944826,NA,-5.91228092
"A2_12",4,"resistant","susceptible",NA,-6.86191453,-8.37675337
"A2_12",5,"resistant","susceptible",-7.46895795,-6.53110795,NA
"A2_12",3,"resistant","susceptible",-8.89019573,NA,-4.92768092
"A2_12",2,"resistant","susceptible",-6.46027618,-5.63314405,NA
"A2_14",4,"resistant","susceptible",NA,-5.3032151,-5.92330337
"A2_14",3,"resistant","susceptible",-7.66274611,NA,-7.85253092
"A2_14",2,"resistant","susceptible",-7.4499485,-4.24759405,NA
"A2_15",2,"resistant","susceptible",-9.74156254,-5.01809405,NA
"A2_15",3,"resistant","susceptible",-8.77244573,NA,-5.52853238
"A2_15",4,"resistant","susceptible",NA,-5.87832421,-8.93566128
"A2_16",4,"susceptible","susceptible",NA,-6.72292184,-5.42422421
"A2_16",3,"susceptible","susceptible",-8.88819573,NA,NA
"A2_16",5,"susceptible","susceptible",-7.16793367,-5.15810467,NA
"A2_16",2,"susceptible","susceptible",-7.45302618,-4.86887745,NA
"A2_21",3,"resistant","susceptible",-9.33754573,NA,-5.77002745
"A2_21",4,"resistant","susceptible",NA,-5.28322184,-7.10692421
"A2_21",2,"resistant","susceptible",-8.27401254,-5.12134405,NA
"A2_23",3,"susceptible","susceptible",-7.57424573,NA,-5.96374611
"A2_23",4,"susceptible","susceptible",NA,-5.78551453,-8.52931128
"A2_23",2,"susceptible","susceptible",-6.87537618,-4.24226863,NA
"A2_24",2,"resistant","susceptible",-6.00566254,-4.03132745,NA
"A2_24",4,"resistant","susceptible",NA,-5.0962651,-5.2890151
"A2_24",3,"resistant","susceptible",-7.8780326,NA,-6.96923092
"A2_3",4,"susceptible","susceptible",NA,-5.73697184,-5.04830337
"A2_3",5,"susceptible","susceptible",-6.32792184,-3.93080795,NA
"A2_3",2,"susceptible","susceptible",-6.86892618,-4.75341863,NA
"A2_3",3,"susceptible","susceptible",-7.6776326,NA,-6.31688092
"A2_7",5,"susceptible","susceptible",-8.57030795,-5.62185467,NA
"A2_7",3,"susceptible","susceptible",-9.36459573,NA,-5.78992745
"A2_7",4,"susceptible","susceptible",NA,-6.70921453,-5.4920651
"A2_7",2,"susceptible","susceptible",-6.91757618,-4.51809405,NA
"A3_1",5,"resistant","susceptible",-7.85514544,-5.03112184,NA
"A3_1",8,"resistant","susceptible",-6.45921697,NA,-8.35846314
"A3_1",4,"resistant","susceptible",NA,-6.10026453,-6.30775337
"A3_10",8,"resistant","susceptible",-6.68741697,NA,-6.32335502
"A3_10",5,"resistant","susceptible",-5.59912184,-4.90217421,NA
"A3_10",4,"resistant","susceptible",NA,-4.54247184,-4.75070337
"A3_11",8,"resistant","susceptible",-8.17040564,NA,-7.72721314
"A3_11",4,"resistant","susceptible",NA,-7.86181453,-7.26156128
"A3_11",5,"resistant","susceptible",-8.26732184,-6.29070795,NA
"A3_15",4,"resistant","susceptible",NA,-5.52352184,-6.5221151
"A3_15",8,"resistant","susceptible",-7.44061697,NA,-6.33491314
"A3_15",6,"resistant","susceptible",-7.75994544,NA,NA
"A3_15",5,"resistant","susceptible",NA,-3.69290467,NA
"A3_18",5,"susceptible","susceptible",-8.56777184,-5.43538367,NA
"A3_18",8,"susceptible","susceptible",-8.78226697,-3.42681683,-8.31241314
"A3_18",4,"susceptible","susceptible",NA,-6.79237184,-8.28310337
"A3_19",5,"susceptible","susceptible",-6.78839544,-4.27527421,NA
"A3_19",4,"susceptible","susceptible",NA,-4.99752184,-6.69201128
"A3_19",8,"susceptible","susceptible",-8.61139382,NA,-6.13314382
"A3_2",5,"resistant","susceptible",-7.08609544,-4.76108367,NA
"A3_2",8,"resistant","susceptible",-7.54115564,NA,-5.60294382
"A3_2",4,"resistant","susceptible",NA,-4.92996453,-6.24640337
"A3_22",4,"resistant","susceptible",NA,-5.2906651,-8.83630337
"A3_22",8,"resistant","susceptible",-7.36834382,NA,-6.88684382
"A3_22",5,"resistant","susceptible",-8.33594544,-4.07095467,NA
"A3_23",5,"resistant","susceptible",-6.15940467,-5.08610467,NA
"A3_23",8,"resistant","susceptible",-6.12670564,NA,-6.94720502
"A3_23",4,"resistant","susceptible",NA,-5.5343651,-5.1358151
"A3_5",5,"susceptible","susceptible",-7.66559544,-3.83819544,NA
